"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @UglyGod: Depression is no joke.",FALSE,0,NA,2017-09-11 02:23:17,FALSE,NA,"907066990732308480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harvey_leano",7392,TRUE,FALSE,NA,NA
"2","Even kids who only see images of a disaster on TV may show signs of #PTSD, depression, and anxiety. #Irma #Harvey https://t.co/kjsrINW1Kw",FALSE,0,NA,2017-09-11 01:37:15,FALSE,NA,"907055403531370496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lanaDC83",0,FALSE,FALSE,NA,NA
"3","RT @hn_stephenson: I wrote a thing.

https://t.co/TVXHjHRJ5C",FALSE,0,NA,2017-09-10 21:16:05,FALSE,NA,"906989681514094592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bex_harvey",1,TRUE,FALSE,NA,NA
"4","@bryanbehar I'm a mother with depression for the loss of my son, HURRICANE HARVEY trapped my daughter  in Houston a… https://t.co/28HwRhVs04",FALSE,0,"bryanbehar",2017-09-10 19:07:19,TRUE,"906394257891536897","906957273435484160","1612067526","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cvdv8498",0,FALSE,FALSE,NA,NA
"5","@KEEMSTAR No one cared when idubbz made fun of cancer but suddenly everyone cares when ksi makes fun of depression.… https://t.co/f2tfp8kOAT",FALSE,0,"KEEMSTAR",2017-09-10 18:08:27,TRUE,"906938045122973698","906942459892117505","872683897","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","_Harvey_Collins",0,FALSE,FALSE,NA,NA
"6","@KSIOlajidebt I hope you get floored, never make fun of depression bro",FALSE,4,"KSIOlajidebt",2017-09-10 17:34:19,FALSE,NA,"906933871211630592","266135518","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rian_Harvey",0,FALSE,FALSE,NA,NA
"7","@authordjmartin You stay safe too! Probably just be a tropical depression by time gets to Jackson, TN (50 miles fro… https://t.co/PrwAXWSOkY",FALSE,1,"authordjmartin",2017-09-10 16:01:36,TRUE,"906887002167050240","906910536821915648","62598391","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThymeWisper",0,FALSE,FALSE,NA,NA
"8","As I return to work full time, I used to call it school, now I call it work, Harvey w/ its costar Irma have my depression in the crosshairs!",FALSE,0,NA,2017-09-10 15:47:33,FALSE,NA,"906907003125149697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sirlord",0,FALSE,FALSE,NA,NA
"9","Why Do So Many New Moms Get Postpartum Depression? https://t.co/IYBPfP2Yn3",FALSE,0,NA,2017-09-10 13:30:08,FALSE,NA,"906872420425969666",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","AudubonHealth",0,FALSE,FALSE,NA,NA
"10","Nashville, TN Tropical Depression Harvey Flooding Closes I40 - 8/31/2017 [00:04:14]
https://t.co/6Ar94uxVi6 https://t.co/DGlTk1LNWx",FALSE,0,NA,2017-09-10 13:01:04,FALSE,NA,"906865105870180352",NA,"<a href=""http://xissufotoday.space"" rel=""nofollow"">xissufotoday</a>","xufospace",0,FALSE,FALSE,NA,NA
